Asmens kodas,Vardas,Pavarde,Lytis,Adresas,El_pastas,Tel_numeris,Kategorija,Registracijos_data,Statusas
48988818290,Sandra,Bieliauskaitė,Moteris,"Aušros al. 20-6, Šiauliai",sandra.bieliauskaite@gmail.com,+37064300732,Tyrėjas,2020-07-28 00:00:00,Aktyvus
44639527638,Andrius,Grigonis,Vyras,"Tiltų g. 19-4, Klaipėda",andrius.grigonis@gmail.com,+37063455471,Tyrėjas,2021-12-16 00:00:00,Aktyvus
39433329359,Agnė,Grigonaitė,Moteris,"Aušros al. 20-6, Šiauliai",agne.grigonaite@gmail.com,+37066976502,Tyrėjas,2022-12-14 00:00:00,Aktyvus
39559344368,Karolis,Kazlauskas,Vyras,"Aušros al. 20-6, Šiauliai",karolis.kazlauskas@gmail.com,+37065622868,Tyrėjas,2025-04-21 00:00:00,Aktyvus
46572755162,Kristina,Stankevičiūtė,Moteris,"Naujoji g. 22-7, Alytus",kristina.stankeviciute@gmail.com,+37061875550,Tyrėjas,2022-08-15 00:00:00,Aktyvus
43525363635,Karolis,Stankevičius,Vyras,"Aušros al. 20-6, Šiauliai",karolis.stankevicius@gmail.com,+37067273499,Tyrėjas,2025-09-11 00:00:00,Aktyvus
41467007787,Agnė,Urbonaitė,Moteris,"Tiltų g. 19-4, Klaipėda",agne.urbonaite@gmail.com,+37067110091,Tyrėjas,2023-12-17 00:00:00,Aktyvus
45194795344,Ieva,Paulauskaitė,Moteris,"Taikos pr. 54-8, Klaipėda",ieva.paulauskaite@gmail.com,+37065992320,Tyrėjas,2025-08-28 00:00:00,Aktyvus
41348558241,Rūta,Vaičiulytė,Moteris,"S. Daukanto g. 45-10, Kaunas",ruta.vaiciulyte@gmail.com,+37066627084,Tyrėjas,2022-03-09 00:00:00,Aktyvus
42394913114,Rūta,Petrauskaitė,Moteris,"S. Daukanto g. 45-10, Kaunas",ruta.petrauskaite@gmail.com,+37062378955,Tyrėjas,2021-10-25 00:00:00,Aktyvus
49785247184,Dominykas,Vaičiulis,Vyras,"Naujoji g. 22-7, Alytus",dominykas.vaiciulis@gmail.com,+37064874213,Tyrėjas,2020-01-21 00:00:00,Aktyvus
40226030105,Tomas,Paulauskas,Vyras,"Jonavos g. 88-9, Kaunas",tomas.paulauskas@gmail.com,+37067161117,Tyrėjas,2020-05-08 00:00:00,Aktyvus
47148256752,Justina,Vaitkutė,Moteris,"Tiltų g. 19-4, Klaipėda",justina.vaitkute@gmail.com,+37066804553,Tyrėjas,2024-05-18 00:00:00,Aktyvus
