Asmens kodas,Vardas,Pavarde,Lytis,Adresas,El_pastas,Tel_numeris,Kategorija,Registracijos_data,Statusas
46391972208,Darius,Petrauskas,Vyras,"J. Basanavičiaus g. 11-10, Utena",darius.petrauskas@outlook.com,+37061424944,Pacientas,2024-02-11,Aktyvus
45460647890,Dominykas,Sabaliauskas,Vyras,"Vilniaus g. 105-35, Šiauliai",dominykas.sabaliauskas@gmail.com,+37063863152,Pacientas,2024-11-29,Aktyvus
41224639453,Mantas,Noreika,Vyras,"Kęstučio g. 9-49, Kaunas",mantas.noreika@inbox.lt,+37069165346,Pacientas,2023-10-15,Aktyvus
48771211802,Dominykas,Jankauskas,Vyras,"Kauno g. 104-16, Jonava",dominykas.jankauskas@gmail.com,+37065995351,Pacientas,2023-07-29,Aktyvus
48516835981,Justina,Jankauskaitė,Moteris,"Gedimino pr. 82-7, Vilnius",justina.jankauskaite@inbox.lt,+37064452892,Pacientas,2025-04-20,Aktyvus
39949200651,Paulius,Jankauskas,Vyras,"Taikos pr. 27-23, Kaunas",paulius.jankauskas@yahoo.com,+37064147364,Pacientas,2025-02-09,Aktyvus
47863732383,Paulius,Grigaitis,Vyras,"Žemaičių g. 56-49, Kaunas",paulius.grigaitis@inbox.lt,+37063050666,Pacientas,2023-10-26,Aktyvus
47563380446,Paulius,Grigaitis,Vyras,"Tiltų g. 5-3, Klaipėda",paulius.grigaitis@gmail.com,+37061889200,Pacientas,2024-08-02,Aktyvus
49211048651,Lina,Žukauskaitė,Moteris,"Stoties g. 58-26, Marijampolė",lina.zukauskaite@outlook.com,+37063293108,Pacientas,2025-09-23,Aktyvus
45894309863,Ieva,Paškevičiūtė,Moteris,"Tiltų g. 96-48, Klaipėda",ieva.paskeviciute@gmail.com,+37062155767,Pacientas,2024-08-09,Aktyvus
46096116893,Dominykas,Petrauskas,Vyras,"Žemaitės g. 104-32, Telšiai",dominykas.petrauskas@gmail.com,+37061989461,Pacientas,2024-12-07,Aktyvus
47619649975,Eglė,Paškevičiūtė,Kita,"Kauno g. 36-47, Jonava",egle.paskeviciute@inbox.lt,+37062696112,Pacientas,2025-02-22,Aktyvus
41844985775,Lina,Noreikaitė,Moteris,"Taikos pr. 117-25, Klaipėda",lina.noreikaite@inbox.lt,+37066229329,Pacientas,2024-03-19,Aktyvus
52341619614,Aistė,Petrauskaitė,Moteris,"Tiltų g. 5-19, Klaipėda",aiste.petrauskaite@gmail.com,+37061235165,Pacientas,2024-02-20,Aktyvus
46606854636,Vytautas,Kazlauskas,Vyras,"Aušros al. 31-9, Šiauliai",vytautas.kazlauskas@outlook.com,+37063610271,Pacientas,2024-10-02,Aktyvus
43521329796,Darius,Sabaliauskas,Kita,"Žirmūnų g. 48-16, Vilnius",darius.sabaliauskas@outlook.com,+37069984717,Pacientas,2025-09-03,Aktyvus
40285868154,Jonas,Sabaliauskas,Vyras,"Debreceno g. 2-5, Klaipėda",jonas.sabaliauskas@gmail.com,+37064561325,Pacientas,2024-01-23,Aktyvus
47605524427,Gabija,Mickevičiūtė,Moteris,"Vytauto g. 81-16, Šiauliai",gabija.mickeviciute@yahoo.com,+37068591052,Pacientas,2025-09-30,Aktyvus
39711380615,Gabija,Mickevičiūtė,Moteris,"Aušros al. 19-27, Šiauliai",gabija.mickeviciute@inbox.lt,+37061318916,Pacientas,2023-09-07,Aktyvus
44786864747,Gabija,Paškevičiūtė,Kita,"Liepų g. 82-44, Klaipėda",gabija.paskeviciute@outlook.com,+37069766224,Pacientas,2024-07-21,Aktyvus
44907469490,Aistė,Grigaitė,Moteris,"Dariaus ir Girėno g. 62-29, Tauragė",aiste.grigaite@yahoo.com,+37068376743,Pacientas,2023-07-28,Aktyvus
