Asmens kodas,Vardas,Pavarde,Lytis,Adresas,El_pastas,Tel_numeris,Kategorija,Registracijos_data,Statusas
39305101260,Tomas,Bieliauskas,Vyras,"Radvilų g. 77-9, Panevėžys",tomas.bieliauskas@gmail.com,+37061599888,Gydytojas,2024-03-06,Aktyvus
39809271261,Justina,Sabaliauskaitė,Moteris,"Vilniaus g. 14-8, Kaunas",justina.sabaliauskaite@inbox.lt,+37061944455,Gydytojas,2023-07-21,Aktyvus
49404171262,Andrius,Grigaitis,Vyras,"Kalvarijų g. 91-4, Vilnius",andrius.grigaitis@gmail.com,+37061166555,Gydytojas,2024-06-30,Aktyvus
38701141263,Monika,Noreikaitė,Moteris,"J. Basanavičiaus g. 18-9, Jonava",monika.noreikaite@outlook.com,+37061877566,Gydytojas,2024-05-18,Aktyvus
48203051264,Mantas,Kazlauskas,Vyras,"Pramonės g. 43-21, Alytus",mantas.kazlauskas@gmail.com,+37061122991,Gydytojas,2023-10-09,Aktyvus
48605271265,Gabija,Petrauskaitė,Moteris,"Vytauto g. 50-3, Kaunas",gabija.petrauskaite@gmail.com,+37061611999,Gydytojas,2024-01-26,Aktyvus
39102121266,Karolis,Jankauskas,Vyras,"P. Cvirkos g. 14-6, Mažeikiai",karolis.jankauskas@yahoo.com,+37061566900,Gydytojas,2023-12-01,Aktyvus
49703221267,Aistė,Mickevičiūtė,Moteris,"Šilo g. 7-8, Utena",aiste.mickeviciute@inbox.lt,+37061133877,Gydytojas,2024-07-17,Aktyvus
48906151268,Lukas,Žukauskas,Vyras,"Rokiškio g. 5-2, Panevėžys",lukas.zukauskas@gmail.com,+37061299001,Gydytojas,2024-02-28,Aktyvus
38401101269,Ieva,Paškevičiūtė,Moteris,"Geležinkelio g. 39-11, Klaipėda",ieva.paskeviciute@yahoo.com,+37061912233,Gydytojas,2023-11-30,Aktyvus
48608131270,Paulius,Bieliauskas,Vyras,"Žalioji g. 9-1, Marijampolė",paulius.bieliauskas@outlook.com,+37061077899,Gydytojas,2024-04-10,Aktyvus
49204231271,Simona,Sabaliauskaitė,Moteris,"Rasos g. 6-4, Šiauliai",simona.sabaliauskaite@gmail.com,+37061844433,Gydytojas,2024-08-19,Aktyvus
39306081272,Dominykas,Grigaitis,Vyras,"Aušros g. 14-10, Jonava",dominykas.grigaitis@inbox.lt,+37061199988,Gydytojas,2023-07-28,Aktyvus
49901141273,Agnė,Noreikaitė,Moteris,"Sodų g. 42-12, Kaunas",agne.noreikaite@gmail.com,+37061688855,Gydytojas,2024-03-21,Aktyvus
39501221274,Andrius,Kazlauskas,Vyras,"Vingio g. 15-6, Utena",andrius.kazlauskas@outlook.com,+37061866777,Gydytojas,2023-10-30,Aktyvus
38804181275,Rūta,Petrauskaitė,Moteris,"Kalnų g. 28-9, Vilnius",ruta.petrauskaite@gmail.com,+37061199933,Gydytojas,2024-02-10,Aktyvus
48605251276,Jonas,Jankauskas,Vyras,"Laisvės al. 65-11, Kaunas",jonas.jankauskas@yahoo.com,+37061955511,Gydytojas,2023-09-17,Aktyvus
39807111277,Eglė,Mickevičiūtė,Moteris,"Aušros al. 44-10, Šiauliai",egle.mickeviciute@gmail.com,+37061133300,Gydytojas,2024-06-12,Aktyvus
38402271278,Mantas,Žukauskas,Vyras,"Naujoji g. 88-7, Mažeikiai",mantas.zukauskas@inbox.lt,+37061088222,Gydytojas,2023-07-14,Aktyvus
49205151279,Lina,Paškevičiūtė,Moteris,"Parko g. 31-3, Marijampolė",lina.paskeviciute@gmail.com,+37061533377,Gydytojas,2024-05-02,Aktyvus
38503281280,Tomas,Bieliauskas,Vyras,"Žeimių g. 90-5, Jonava",tomas.bieliauskas@outlook.com,+37061288599,Gydytojas,2023-08-23,Aktyvus
49406191281,Justina,Sabaliauskaitė,Moteris,"Žalioji g. 18-2, Alytus",justina.sabaliauskaite@gmail.com,+37061811200,Gydytojas,2024-03-14,Aktyvus
48304051282,Karolis,Grigaitis,Vyras,"Kalvarijų g. 9-4, Vilnius",karolis.grigaitis@inbox.lt,+37061255333,Gydytojas,2024-07-03,Aktyvus
